Term (N-Gramm);S;tf;df;idf;tf-idf*;tf/S;df/S;(tf*df)/S^2
communications;3479;386;65;1,72854107210473;667,216853832427;0,1109514228226501868352974993;0,0186835297499281402701925841;0,0020729642091038408003145552
compact;3479;308;64;1,7352744547637;534,46453206722;0,0885311871227364185110663984;0,0183960908306984765737280828;0,0016286277596594224733280395
comparator;3479;751;63;1,74211387929401;1308,3275233498;0,2158666283414774360448404714;0,0181086519114688128772635815;0,0039090536319382231879347369
compare;3479;1500;402;0,937228375663119;1405,84256349468;0,4311583788444955446967519402;0,11555044553032480597872952;0,049820542769614029597037735
comparison;3479;698;171;1,30845831835544;913,303906212094;0,2006323656223052601322219028;0,0491520551882724920954297212;0,0098614931076212128435211111
compartment;3479;242;27;2,1100906645886;510,641940830442;0,069560218453578614544409313;0,0077608508192009198045415349;0,0005398464783692505296634238
compensate;3479;416;130;1,42751107644075;593,844607799353;0,1195745903995400977292325381;0,0373670594998562805403851682;0,0044681508341305584089681604
compensation;3479;715;88;1,59697175659742;1141,83480596716;0,2055188272492095429721184248;0,0252946248922104052888761138;0,0051985216435557458412033404
complete;3479;250;98;1,55022835305509;387,557088263773;0,0718597298074159241161253234;0,0281690140845070422535211268;0,0020242177410539696934119809
component;3479;3888;399;0,940481533060841;3656,59220054055;1,117562517964932451853981029;0,1146881287726358148893360161;0,1281711539718332993071970194
compose;3479;622;111;1,49613144996093;930,593761875699;0,1787870077608508192009198045;0,0319057200344926703075596436;0,0057043282154223745131653056
composite;3479;655;98;1,55022835305509;1015,39957125109;0,1882724920954297211842483472;0,0281690140845070422535211268;0,0053034504815614005967393901
composition;3479;208;26;2,12648108077677;442,308064801568;0,059787295199770048864616269;0,0074734118999712561080770336;0,000446815083413055840896816
compound;3479;198;22;2,19903174792538;435,408286089226;0,0569129060074734118999712561;0,0063236562230526013222190285;0,0003598976522461670197756159
compress;3479;617;120;1,46227318269996;902,222553725878;0,1773498131647025007185972981;0,0344926703075596435757401552;0,0061172686345973843306213497
compression;3479;518;77;1,65496370357511;857,271198451905;0,14889336016096579476861167;0,0221327967806841046277665996;0,003295426482435862660874705
compute;3479;1861;245;1,15228834438306;2144,40860889687;0,5349238286864041391204369072;0,0704225352112676056338028169;0,0376706921610143759943969653
computer;3479;2719;489;0,852145569623969;2316,98380380757;0,781546421385455590686979017;0,1405576315033055475711411325;0,1098523138998240252503399653
concave;3479;342;83;1,62237633637151;554,852707039058;0,0983041103765449841908594424;0,0238574302960620868065536074;0,0023452834611248156619262241
